"skPersona","medicion","factorExpPersonas","factorExpHogares","factorExpViviendas","skVivienda","skHogar","skBarrio","codigoComuna","Edad","Sexo","anios_en_barrio","vida_en_barrio","vive_arriendo","valor_arriendo","vivia_en_otro_pais","vivia_en_otro_municipio","vivia_en_otro_barrio","Estrato","posee_gas","posee_aseo","total_cuartos","cuartos_dormir","posee_sanitario","cantidad_personas_hogar","personas_cuarto","hacinamiento","posee_energia","posee_acueducto","posee_alcantarillado","paredes_material","pisos_material","servicios","material_vivienda","barrio_anterior","codigoBarrioComuna","Cod_comuna","cod_barrio","nombreBarrio","zona","Sector","nombreComuna","migrante_en_arriendo","tipo_persona"
"2024_19556",2024,"146.285714285714","144.39590443686","144.122866894198","2024_6638","2024_6638_1",NA,80,23,0,23,1,0,"-88",0,0,0,3,1,1,8,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19557",2024,"118.305555555556","144.39590443686","144.122866894198","2024_6638","2024_6638_1",NA,80,50,1,50,1,0,"-88",0,0,0,3,1,1,8,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19558",2024,"148.291666666667","144.39590443686","144.122866894198","2024_6638","2024_6638_1",NA,80,48,0,48,1,0,"-88",0,0,0,3,1,1,8,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19559",2024,"132","144.39590443686","144.122866894198","2024_6638","2024_6638_1",NA,80,15,1,15,1,0,"-88",0,0,0,3,1,1,8,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19560",2024,"162.914285714286","144.39590443686","144.122866894198","2024_6639","2024_6639_1",NA,80,30,1,30,1,1,"7e+05",0,0,0,3,1,1,6,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19561",2024,"164.454545454545","144.39590443686","144.122866894198","2024_6639","2024_6639_1",NA,80,31,0,31,1,1,"7e+05",0,0,0,3,1,1,6,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19562",2024,"114.333333333333","144.39590443686","144.122866894198","2024_6639","2024_6639_1",NA,80,5,1,5,1,1,"7e+05",0,0,0,3,1,1,6,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19563",2024,"171.08","144.39590443686","144.122866894198","2024_6640","2024_6640_1",NA,80,43,0,43,1,1,"650000",0,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19564",2024,"139.647058823529","144.39590443686","144.122866894198","2024_6640","2024_6640_1",NA,80,40,1,40,1,1,"650000",0,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
"2024_19565",2024,"162.914285714286","144.39590443686","144.122866894198","2024_6641","2024_6641_1",NA,80,32,1,0,0,1,"650000",0,1,1,2,1,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19566",2024,"157.6","144.39590443686","144.122866894198","2024_6641","2024_6641_1",NA,80,14,0,0,0,1,"650000",0,1,1,2,1,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19567",2024,"92.125","144.39590443686","144.122866894198","2024_6641","2024_6641_1",NA,80,6,0,0,0,1,"650000",0,1,1,2,1,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19568",2024,"48.3846153846154","144.39590443686","144.122866894198","2024_6641","2024_6641_1",NA,80,84,0,0,0,1,"650000",0,1,1,2,1,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19569",2024,"95.974358974359","144.39590443686","144.122866894198","2024_6641","2024_6641_1",NA,80,64,1,0,0,1,"650000",0,1,1,2,1,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19570",2024,"164.454545454545","144.39590443686","144.122866894198","2024_6641","2024_6641_1",NA,80,30,0,0,0,1,"650000",0,1,1,2,1,1,4,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_8096",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Interregional"
"2024_19571",2024,"127.588235294118","144.39590443686","144.122866894198","2024_6642","2024_6642_1",NA,80,48,1,3,0.0625,1,"550000",1,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Internacional"
"2024_19572",2024,"148.291666666667","144.39590443686","144.122866894198","2024_6642","2024_6642_1",NA,80,47,0,3,0.0638297872340425,1,"550000",1,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Internacional"
"2024_19573",2024,"95.9","144.39590443686","144.122866894198","2024_6642","2024_6642_1",NA,80,21,0,3,0.142857142857143,1,"550000",1,0,0,2,1,1,3,2,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Migrante Internacional"
"2024_19574",2024,"118.305555555556","144.39590443686","144.122866894198","2024_6643","2024_6643_1",NA,80,52,1,52,1,0,"-88",0,0,0,2,1,1,4,3,6,NA,NA,NA,1,1,1,NA,NA,11,NA,"2024_-88",NA,NA,NA,NA,NA,NA,NA,0,"Persona local"
