"","medicion","Sexo","GrupoEdad2","FEP_Ciudad"
"117","2013","0",5,59.6478504672897
"118","2013","0",6,55.5845173934346
"119","2013","0",7,41.6030711959051
"120","2013","1",1,43.8593010146561
"121","2013","1",2,36.6694708877574
"122","2013","1",3,47.4013989776702
"123","2013","1",4,46.6509577379143
"124","2013","1",5,51.9426381178958
"125","2013","1",6,46.487687879757
"126","2013","1",7,39.7331334332834
"127","2014","0",1,46.4891655140618
"128","2014","0",2,40.7048821957736
"129","2014","0",3,48.1524893314367
"130","2014","0",4,50.4299960111687
"131","2014","0",5,58.3981684981685
"132","2014","0",6,55.6573986804901
"133","2014","0",7,40.967119684349
"134","2014","1",1,45.9332220367279
"135","2014","1",2,37.354898336414
"136","2014","1",3,47.4434666666667
"137","2014","1",4,48.1207606973059
"138","2014","1",5,51.6531853026698
"139","2014","1",6,44.9759786476868
"140","2014","1",7,39.2709988649262
"141","2015","0",1,53.1767207015679
"142","2015","0",2,44.2259810554804
"143","2015","0",3,51.8895243829019
"144","2015","0",4,51.8577868852459
"145","2015","0",5,60.4358483339717
"146","2015","0",6,59.7730150998539
"147","2015","0",7,40.8547509418167
"148","2015","1",1,54.1386840612592
"149","2015","1",2,41.3833857442348
"150","2015","1",3,50.0817469204927
"151","2015","1",4,50.1514247846256
"152","2015","1",5,54.5956964892412
"153","2015","1",6,49.6033887668654
"154","2015","1",7,39.440414507772
"155","2016","0",1,69.1213913043478
"156","2016","0",2,59.046875
"157","2016","0",3,75.4256144890039
"158","2016","0",4,75.5002935995302
"159","2016","0",5,86.7366946778711
"160","2016","0",6,85.1892976588629
"161","2016","0",7,62.4708051628765
"162","2016","1",1,73.8005453837164
"163","2016","1",2,54.5222024866785
"164","2016","1",3,71.0451485148515
"165","2016","1",4,69.3598003629764
"166","2016","1",5,76.7156783103168
"167","2016","1",6,72.7506643046944
"168","2016","1",7,57.2218856493752
"169","2017","0",1,79.8947794415216
"170","2017","0",2,63.2128530495293
"171","2017","0",3,76.340830449827
"172","2017","0",4,80.8196821515892
"173","2017","0",5,89.4328180737218
"174","2017","0",6,84.1861057998725
"175","2017","0",7,61.1950231481481
"176","2017","1",1,81.3983564013841
"177","2017","1",2,59.3607796340493
"178","2017","1",3,74.1964359718193
"179","2017","1",4,79.5505102040816
"180","2017","1",5,77.8997451146984
"181","2017","1",6,72.9661959777493
