"","codigoComuna","descripcionSexo","key","FEP_barrio"
"11243",5,"Mujer","502_1_1_2012",52.9285714285714
"11244",5,"Mujer","502_1_1_2013",51.7857142857143
"11245",5,"Mujer","502_1_1_2014",73.3
"11246",5,"Mujer","502_1_1_2015",60.75
"11247",5,"Mujer","502_1_1_2016",65.8181818181818
"11248",5,"Mujer","502_1_1_2017",181.75
"11249",5,"Mujer","502_1_1_2018",110.166666666667
"11250",5,"Mujer","502_1_1_2019",82.25
"11251",5,"Mujer","502_1_2_2005",18.0555555555556
"11252",5,"Mujer","502_1_2_2006",33.45
"11253",5,"Mujer","502_1_2_2007",23.6551724137931
"11254",5,"Mujer","502_1_2_2008",24.1379310344828
"11255",5,"Mujer","502_1_2_2009",35.55
"11256",5,"Mujer","502_1_2_2010",41.8235294117647
"11257",5,"Mujer","502_1_2_2011",41.6470588235294
"11258",5,"Mujer","502_1_2_2012",58.1666666666667
"11259",5,"Mujer","502_1_2_2013",170.5
"11260",5,"Mujer","502_1_2_2014",73.1111111111111
"11261",5,"Mujer","502_1_2_2015",35.3333333333333
"11262",5,"Mujer","502_1_2_2016",102.666666666667
"11263",5,"Mujer","502_1_2_2017",98.8333333333333
"11264",5,"Mujer","502_1_2_2018",67.3333333333333
"11265",5,"Mujer","502_1_2_2019",85
"11266",5,"Mujer","502_1_3_2005",21.9230769230769
"11267",5,"Mujer","502_1_3_2006",30.4736842105263
"11268",5,"Mujer","502_1_3_2007",24.5833333333333
"11269",5,"Mujer","502_1_3_2008",30.5
"11270",5,"Mujer","502_1_3_2009",19.6875
"11271",5,"Mujer","502_1_3_2010",65
"11272",5,"Mujer","502_1_3_2011",67.6
"11273",5,"Mujer","502_1_3_2012",36.7894736842105
"11274",5,"Mujer","502_1_3_2013",42.5882352941176
"11275",5,"Mujer","502_1_3_2014",49.0666666666667
"11276",5,"Mujer","502_1_3_2015",62.25
"11277",5,"Mujer","502_1_3_2016",63.75
"11278",5,"Mujer","502_1_3_2017",111
