Comuna;Nombre Comuna;Barrio;Nombre Barrio;codigoBarrioComuna;2014;2015;2016;2017;2018;2019
90;SANTA ELENA;4;VDA LAS PALMAS;9004;282;285;286;323;296;309
90;SANTA ELENA;5;VDA MEDIA LUNA;9005;493;492;493;545;511;539
90;SANTA ELENA;6;VDA SANTA ELENA CENTRAL;9006;94;94;94;117;93;97
90;SANTA ELENA;7;VDA EL PLACER;9007;88;85;86;91;85;86
90;SANTA ELENA;8;VDA PIEDRAS BLANCAS;9008;1769;1847;1884;1977;2005;2226
90;SANTA ELENA;11;VDA PIEDRAS BLANCAS REPRESA;9011;253;252;252;267;249;265
90;SANTA ELENA;12;VDA PIEDRA GORDA;9012;119;119;119;134;118;119
90;SANTA ELENA;13;VDA BARRO BLANCO;9013;180;178;178;199;183;192
90;SANTA ELENA;77;SUBURBANO EL TESORO;9077;90;91;91;110;96;96
90;SANTA ELENA;78;SUBURBANO EL CERRO;9078;35;35;35;43;35;34
90;SANTA ELENA;79;SUBURBANO PIEDRA GORDA;9079;58;59;59;61;59;63
90;SANTA ELENA;80;SUBURBANO BARRO BLANCO;9080;66;67;68;72;67;70
90;SANTA ELENA;81;SUBURBANO EL PLACER;9081;196;199;200;216;204;211
90;SANTA ELENA;82;SUBURBANO CHACALTAYA;9082;43;43;43;53;43;42
90;SANTA ELENA;83;SUBURBANO MIRADOR DEL POBLADO;9083;92;95;96;103;102;100
90;SANTA ELENA;84;SUBURBANO SANTA ELENA CENTRAL;9084;91;92;90;107;91;93
90;SANTA ELENA;85;SUBURBANO EL LLANO;9085;221;223;223;239;223;238
90;SANTA ELENA;86;SUBURBANO EL PLAN;9086;353;359;359;866;390;414
90;SANTA ELENA;87;SUBURBANO MATASANO # 3;9087;2;2;2;4;2;2
90;SANTA ELENA;88;SUBURBANO MATASANO # 2;9088;7;7;7;14;7;8
90;SANTA ELENA;89;SUBURBANO MATASANO # 1;9089;33;33;33;82;33;35
90;SANTA ELENA;99;ILOCALIZADO SANTA ELENA;9099;15;9;8;16;8;7
