Comuna;Nombre Comuna;Barrio;Nombre Barrio;codigoBarrioComuna;2014;2015;2016;2017;2018;2019
7;ROBLEDO;8;ALTAMIRA;708;1985;1985;1986;1991;1990;1992
7;ROBLEDO;9;CORDOBA;709;1980;2004;2244;2293;2273;2283
7;ROBLEDO;10;LOPEZ DE MESA;710;1233;1242;1259;1265;1269;1280
7;ROBLEDO;11;EL DIAMANTE;711;3701;3724;3771;3853;3818;3953
7;ROBLEDO;12;AURES # 2;712;3571;3613;3650;3786;3736;3790
7;ROBLEDO;13;AURES # 1;713;4574;4892;4916;5095;5024;5048
7;ROBLEDO;14;BELLO HORIZONTE;714;2011;2037;2053;2101;2092;2109
7;ROBLEDO;15;VILLA FLORA;715;1584;1588;1591;1599;1599;1594
7;ROBLEDO;16;PALENQUE;716;2477;2483;2486;2501;2635;2638
7;ROBLEDO;17;ROBLEDO;717;1758;1754;1754;1768;1788;1800
7;ROBLEDO;18;CUCARACHO;718;3942;4080;4098;4144;4125;4129
7;ROBLEDO;19;FUENTE CLARA;719;526;482;482;515;491;492
7;ROBLEDO;20;SANTA MARGARITA;720;1615;1643;1886;2189;2167;2184
7;ROBLEDO;22;OLAYA HERRERA;722;1610;1636;1627;1703;1694;1743
7;ROBLEDO;23;PAJARITO;723;1303;1434;1436;1689;1687;1687
7;ROBLEDO;24;MONTECLARO;724;3449;3926;4105;4136;4160;4184
7;ROBLEDO;25;NUEVA VILLA DE LA IGUANA;725;425;436;440;447;447;455
8;VILLA HERMOSA;1;VILLA HERMOSA;801;2639;2664;2682;2759;2729;2771
8;VILLA HERMOSA;2;LA MANSION;802;2275;2294;2483;2617;2602;2617
8;VILLA HERMOSA;3;SAN MIGUEL;803;2941;2952;2964;3140;3162;3181
8;VILLA HERMOSA;4;LA LADERA;804;331;650;654;655;654;656
8;VILLA HERMOSA;5;BATALLON GIRARDOT;805;2;2;2;2;2;2
8;VILLA HERMOSA;6;LLANADITAS;806;1511;1543;1565;1611;1589;1590
8;VILLA HERMOSA;7;LOS MANGOS;807;3526;3579;3613;3725;3694;3722
8;VILLA HERMOSA;8;ENCISO;808;2704;2727;2739;2815;2763;2778
8;VILLA HERMOSA;9;SUCRE;809;1411;1425;1425;1486;1500;1518
8;VILLA HERMOSA;10;EL PINAL;810;3029;3057;3071;3176;3121;3146
8;VILLA HERMOSA;11;13 DE NOVIEMBRE;811;1611;1591;1604;1638;1602;1598
8;VILLA HERMOSA;12;LA LIBERTAD;812;1534;1556;1581;1662;1678;1706
8;VILLA HERMOSA;13;VILLATINA;813;2801;2795;2789;2825;2788;2776
8;VILLA HERMOSA;14;SAN ANTONIO;814;1130;1139;1123;1104;1077;1078
8;VILLA HERMOSA;15;LAS ESTANCIAS;815;2029;2031;2033;2045;2040;2045
8;VILLA HERMOSA;16;VILLA TURBAY;816;781;766;765;774;756;758
